Row	Locator Number	Address	Zip Code	Distance (miles)	Sale Date	Sale Price	Price Per Sq. Ft.	Sale Validity	Total Acres	Living Units / Story Height	Exterior Wall Type	Architectural Style	Year Built	Total Living Area	Basement	Bed / Total Rooms	Full / Half Baths
461	24S340634	415 Mark Wesley Ln.	63021	0.45	11/15/2022	$550,000	$236.66	X	0.2297	1 / 1	Masonry and Frame	Ranch	1992	2,324	Full	3 / 6	3 / 0
462	24R120916	1213 Arbor Trails Ct.	63021	0.89	8/1/2022	$550,000	$181.75	X	0.2430	1 / 2	Masonry and Frame	Conventional	2003	3,026	Full	4 / 9	3 / 1
463	25S630712	427 Winding Oaks Ct.	63021	0.93	8/26/2021	$550,000	$194.48	X	0.2306	1 / 2	Aluminum / Vinyl	Conventional	1991	2,828	Full	4 / 8	2 / 1
464	24S320412	645 Charleston Oaks Dr.	63021	0.80	2/3/2023	$560,000	$190.86	X	0.2901	1 / 2	Aluminum / Vinyl	Conventional	1995	2,934	Full	4 / 8	3 / 1
465	23S230745	718 Stoney Creek Ln.	63021	0.85	10/31/2022	$565,000	$202.94	X	0.2225	1 / 2	Aluminum / Vinyl	Conventional	2014	2,784	Full	4 / 9	3 / 1
466	23S321122	475 Madrina Ct.	63021	0.20	9/16/2022	$570,000	$186.88	X	0.2293	1 / 2	Aluminum / Vinyl	Conventional	2003	3,050	Full	4 / 9	3 / 1
467	25R440143	218 Arbor Trails Dr.	63021	0.90	12/7/2022	$578,285	$192.24	2	0.2083	1 / 2	Aluminum / Vinyl	Conventional	2002	3,008	Full	4 / 9	3 / 1
468	24S641267	300 Remington Way Dr.	63021	0.16	7/19/2022	$580,000	$174.48	X	0.2619	1 / 2	Masonry and Frame	Colonial	2001	3,324	Full	5 / 9	3 / 1
469	23R130248	243 Howard Dr.	63021	0.50	2/14/2023	$591,450	$469.40	1	0.3317	1 / 1	Aluminum / Vinyl	Ranch	1959	1,260	None	3 / 6	1 / 0
470	23S230790	688 Stoney Creek Ln.	63021	0.92	7/14/2021	$595,000	$184.61	X	0.1928	1 / 2	Aluminum / Vinyl	Conventional	2013	3,223	Full	4 / 9	4 / 1
